time,PriceElectricPowerConstant,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul,PriceElectricPowerDynamic,InternalGainsRad[sou],InternalGainsCon[sou],InternalGainsLat[sou],InternalGainsRad[eas],InternalGainsCon[eas],InternalGainsLat[eas],InternalGainsRad[nor],InternalGainsCon[nor],InternalGainsLat[nor],InternalGainsRad[wes],InternalGainsCon[wes],InternalGainsLat[wes],InternalGainsRad[cor],InternalGainsCon[cor],InternalGainsLat[cor],LowerSetp[eas],UpperSetp[eas],UpperCO2[eas],LowerSetp[cor],UpperSetp[cor],UpperCO2[cor],LowerSetp[wes],UpperSetp[wes],UpperCO2[wes],LowerSetp[nor],UpperSetp[nor],UpperCO2[nor],LowerSetp[sou],UpperSetp[sou],UpperCO2[sou],Occupancy[wes],Occupancy[eas],Occupancy[cor],Occupancy[sou],Occupancy[nor],PriceElectricPowerHighlyDynamic,EmissionsElectricPower
1641600,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.75,1.0,520.0,3.1,5.75958653158,1.0,263.043342743,271.0,1641600,2.7657638212,-1.19496749441,-0.356981992806,1641444.33601,116.227607978,270.95,269.676038683,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05816,0.341
1642500,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.76303125,1.0,529.375,3.13618421053,5.66277529963,1.0,262.816994239,270.13125,1642500,2.76308011704,-1.19228379025,-0.356945574756,1642344.14885,116.293044214,270.716847826,269.524470767,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05816,0.341
1643400,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.78075,1.0,550.0,3.23815789474,5.44324560466,1.0,262.499074545,268.95,1643400,2.75249005948,-1.18169373269,-0.356909145226,1643243.96176,116.358480456,270.389371981,269.305618232,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05816,0.341
1644300,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.79809375,1.0,570.625,3.39605263158,5.20735344794,1.0,262.186313792,267.79375,1644300,2.73462193933,-1.16382561254,-0.356872704219,1644143.77474,116.423916702,270.067210145,269.086591084,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05816,0.341
1645200,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.81,1.0,580.0,3.6,5.06145483078,1.0,261.975442108,267.0,1645200,2.71039908005,-1.13960275325,-0.356836251735,1645043.5878,116.489352954,269.85,268.938143685,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05777,0.341
1646100,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.80428125,1.0,574.84375,3.83945873206,5.0320413579,1.0,262.081206141,267.38125,1646100,2.68084909512,-1.11005276833,-0.356799787776,1645943.40092,116.554789211,269.958943129,269.014017021,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05777,0.341
1647000,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.78225,1.0,561.25,4.09820574163,5.06301316047,1.0,262.474155021,268.85,1647000,2.64695826814,-1.07616194134,-0.356763312343,1646843.21412,116.620225473,270.363703416,269.288876207,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05777,0.341
1647900,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.75909375,1.0,542.03125,4.35784988038,5.1368390295,1.0,262.884722603,270.39375,1647900,2.60959327109,-1.0387969443,-0.356726825439,1647743.02738,116.685661741,270.786611995,269.569817139,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05777,0.341
1648800,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.75,1.0,520.0,4.6,5.23598775598,1.0,263.043342743,271.0,1648800,2.56947678084,-0.998680454042,-0.356690327066,1648642.84072,116.751098013,270.95,269.676038683,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05786,0.341
1649700,0.094,101325,-1.53449347835,0.732689219987,267.05,0.0,0.0,0.0,0.756375,1.0,488.59375,4.82534090909,5.42376648354,1.0,262.920148443,270.575,1649700,2.52719413014,-0.956397803344,-0.356653817223,1649542.65413,116.81653429,270.823102679,269.590083365,0.05871,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.05786,0.341
