time,reaTZon_y,oveTSet_u
1382400,294.4643919860063,294.34999999999997
1382430,294.46548707929276,294.34999999999997
1382460,294.46657571268406,294.34999999999997
1382490,294.46765965768236,294.34999999999997
1382520,294.4687376059156,294.34999999999997
1382550,294.46980916710254,294.34999999999997
1382580,294.47087425653683,294.34999999999997
1382610,294.4719328901397,294.34999999999997
1382640,294.47298511598024,294.34999999999997
1382670,294.4740309914762,294.34999999999997
1382700,294.4750705758703,294.34999999999997
1382730,294.4761039277985,294.34999999999997
1382760,294.47713110454396,294.34999999999997
1382790,294.4781521618382,294.34999999999997
1382820,294.47916715382956,294.34999999999997
1382850,294.4801761330977,294.34999999999997
1382880,294.4811791506723,294.34999999999997
1382910,294.4821762560473,294.34999999999997
1382940,294.4831674971874,294.34999999999997
1382970,294.48415292052874,294.34999999999997
1383000,294.48513257097426,294.34999999999997
1383030,294.48610649188686,294.34999999999997
1383060,294.4870747250806,294.34999999999997
1383090,294.4880373108111,294.34999999999997
1383120,294.4889942877671,294.34999999999997
1383150,294.4899456930632,294.34999999999997
1383180,294.4908915622344,294.34999999999997
1383210,294.49183192923294,294.34999999999997
1383240,294.492766826428,294.34999999999997
1383270,294.49369628460886,294.34999999999997
1383300,294.49462033298994,294.34999999999997
1383330,294.4955389992204,294.34999999999997
1383360,294.4964523093962,294.34999999999997
1383390,294.49736028807513,294.34999999999997
1383420,294.4982629582959,294.34999999999997
1383450,294.4991603415992,294.34999999999997
1383480,294.500052458052,294.34999999999997
1383510,294.5009393262752,294.34999999999997
1383540,294.50182096347265,294.34999999999997
1383570,294.5026973854639,294.34999999999997
1383600,294.50356860671775,294.34999999999997
1383630,294.5044346403895,294.34999999999997
1383660,294.5052954983583,294.34999999999997
1383690,294.50615119126746,294.34999999999997
1383720,294.5070017285657,294.34999999999997
1383750,294.50784711854953,294.34999999999997
1383780,294.50868736840704,294.34999999999997
1383810,294.50952248426256,294.34999999999997
1383840,294.5103524712216,294.34999999999997
1383870,294.5111773334172,294.34999999999997
1383900,294.5119970740557,294.34999999999997
1383930,294.51281169546337,294.34999999999997
1383960,294.5136211991328,294.34999999999997
1383990,294.51442558576923,294.34999999999997
1384020,294.51522485533684,294.34999999999997
1384050,294.5160190071043,294.34999999999997
1384080,294.51680803969,294.34999999999997
1384110,294.51759195110657,294.34999999999997
1384140,294.5183707388045,294.34999999999997
1384170,294.5191443997151,294.34999999999997
1384200,294.5199129302922,294.34999999999997
1384230,294.52067632655246,294.34999999999997
1384260,294.52143458411535,294.34999999999997
1384290,294.52218769824003,294.34999999999997
1384320,294.52293566386265,294.34999999999997
1384350,294.52367847563215,294.34999999999997
1384380,294.5244161279428,294.34999999999997
1384410,294.52514861496684,294.34999999999997
1384440,294.52587593068324,294.34999999999997
1384470,294.526598068907,294.34999999999997
1384500,294.5273150233146,294.34999999999997
1384530,294.5280267874689,294.34999999999997
1384560,294.5287333548414,294.34999999999997
1384590,294.52943471883225,294.34999999999997
1384620,294.5301308727891,294.34999999999997
1384650,294.5308218100232,294.34999999999997
1384680,294.5315075238235,294.34999999999997
1384710,294.5321880074684,294.34999999999997
1384740,294.532863254236,294.34999999999997
1384770,294.5335332574119,294.34999999999997
1384800,294.5341980102942,294.34999999999997
1384830,294.5348575061978,294.34999999999997
1384860,294.5355117384549,294.34999999999997
1384890,294.5361607004149,294.34999999999997
1384920,294.5368043854411,294.34999999999997
1384950,294.5374427869061,294.34999999999997
1384980,294.5380758981846,294.34999999999997
1385010,294.5387037126445,294.34999999999997
1385040,294.53932622363635,294.34999999999997
1385070,294.53994342448044,294.34999999999997
1385100,294.54055530845216,294.34999999999997
1385130,294.5411618687658,294.34999999999997
1385160,294.54176309855654,294.34999999999997
1385190,294.5423589908611,294.34999999999997
1385220,294.54294953859596,294.34999999999997
1385250,294.54353473453557,294.34999999999997
1385280,294.54411457128765,294.34999999999997
1385310,294.5446890412686,294.34999999999997
1385340,294.5452581366768,294.34999999999997
1385370,294.545821849465,294.34999999999997
1385400,294.54638017131236,294.34999999999997
1385430,294.54693309359493,294.34999999999997
1385460,294.5474806073556,294.34999999999997
1385490,294.54802270327394,294.34999999999997
1385520,294.54855937163455,294.34999999999997
1385550,294.54909060229613,294.34999999999997
1385580,294.5496163846598,294.34999999999997
1385610,294.55013670763714,294.34999999999997
1385640,294.55065155961864,294.34999999999997
1385670,294.5511609284424,294.34999999999997
1385700,294.55166480136273,294.34999999999997
1385730,294.55216316501946,294.34999999999997
1385760,294.55265600540815,294.34999999999997
1385790,294.5531433078503,294.34999999999997
1385820,294.5536250569653,294.34999999999997
1385850,294.55410123664274,294.34999999999997
1385880,294.5545718300166,294.34999999999997
1385910,294.55503681944,294.34999999999997
1385940,294.5554961864618,294.34999999999997
1385970,294.5559499118053,294.34999999999997
1386000,294.55639797609035,294.34999999999997
1386030,294.55683750937703,294.34999999999997
1386060,294.5572713154724,294.34999999999997
1386090,294.55769936200636,294.34999999999997
1386120,294.55812161246115,294.34999999999997
