time,InternalGainsRad[sou],InternalGainsCon[sou],InternalGainsLat[sou],InternalGainsRad[eas],InternalGainsCon[eas],InternalGainsLat[eas],InternalGainsRad[nor],InternalGainsCon[nor],InternalGainsLat[nor],InternalGainsRad[wes],InternalGainsCon[wes],InternalGainsLat[wes],InternalGainsRad[cor],InternalGainsCon[cor],InternalGainsLat[cor],LowerSetp[eas],UpperSetp[eas],UpperCO2[eas],LowerSetp[cor],UpperSetp[cor],UpperCO2[cor],LowerSetp[wes],UpperSetp[wes],UpperCO2[wes],LowerSetp[nor],UpperSetp[nor],UpperCO2[nor],LowerSetp[sou],UpperSetp[sou],UpperCO2[sou],Occupancy[wes],Occupancy[eas],Occupancy[cor],Occupancy[sou],Occupancy[nor],EmissionsElectricPower,PriceElectricPowerDynamic,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul,PriceElectricPowerHighlyDynamic,PriceElectricPowerConstant
6652800,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.341,0.05871,101325,-1.53449347835,0.732689219987,269.25,0.0,0.0,0.0,0.6,0.0,2000,6.2,3.49065850399,0.0,259.468030523,257,6652800,2.43840241707,-0.867606090273,-0.0294992060924,6652791.4402,480.663053513,276.45,273.771422876,0.06525,0.094
6656400,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.341,0.05871,101325,-1.53449347835,0.732689219987,268.75,0.0,0.0,0.0,0.57,0.0,2000,6.2,3.31612557879,0.0,259.349244793,257,6656400,2.3999928282,-0.829196501404,-0.0292146237458,6656392.20621,480.924908607,276.45,273.56221328,0.06471,0.094
6660000,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.341,0.05871,101325,-1.53449347835,0.732689219987,269.25,0.0,0.0,0.0,0.62,0.0,2000,5.2,3.31612557879,0.0,258.998744883,255,6660000,2.29568578653,-0.724889459739,-0.0289300287524,6659992.97257,481.186763726,275.95,273.466406613,0.0642,0.094
6663600,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.341,0.05871,101325,-1.53449347835,0.732689219987,270.35,0.0,0.0,0.0,0.65,0.0,2000,8.2,3.83972435439,0.0,259.728014652,258,6663600,2.14698135039,-0.576185023598,-0.0286454212359,6663593.73929,481.448618871,276.45,274.117461328,0.06478,0.094
6667200,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.341,0.05871,101325,-1.53449347835,0.732689219987,272.05,0.0,0.0,0.0,0.7,0.7,2740,7.7,4.18879020479,0.6,265.068380969,280,6667200,1.97225770893,-0.401461382139,-0.0283608013197,6667194.50635,481.710474041,277.05,275.007552409,0.06634,0.094
6670800,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,285.15,303.15,894,0,0,2,0,0,0.341,0.05871,101325,-1.53449347835,0.732689219987,273.15,0.0,0.0,0.0,0.7,0.6,2740,7.2,4.01425727959,0.4,265.293819071,281,6670800,1.78375044605,-0.212954119258,-0.0280761691272,6670795.27377,481.972329237,278.15,276.009737283,0.07013,0.094
6674400,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0,0.341,0.06906,101325,-1.53449347835,0.732689219987,273.75,10.814516129,12.2211538462,13.75,0.73,0.8,2740,7.2,4.18879020479,0.7,267.297155393,289,6674400,1.58959790278,-0.0188015759868,-0.0277915247819,6674396.04154,482.234184459,278.15,276.22992637,0.08374,0.094
6678000,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0,0.341,0.06906,101325,-1.53449347835,0.732689219987,274.25,53.4410642281,77.4257759784,88.5639534884,0.73,0.8,2000,6.7,4.18879020479,0.3,265.600861474,282,6678000,1.39614485159,0.174651475201,-0.0275068684072,6677996.80966,482.496039705,278.75,276.78173421,0.09937,0.094
6681600,83.032,83.032,41.516,52.5664,52.5664,26.2832,83.032,83.032,41.516,52.5664,52.5664,26.2832,393.8688,393.8688,196.9344,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,0,0,2,0,0,0.341,0.06906,101325,-1.53449347835,0.732689219987,274.85,46.3313634368,145.304157132,156.106501057,0.66,0.9,7620,7.7,4.18879020479,0.8,271.319276723,307,6681600,1.20977252808,0.361023798717,-0.0272222001268,6681597.57812,482.757894977,280.95,278.221105649,0.07699,0.094
6685200,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.6384,7089.6384,3544.8192,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9,0.341,0.06906,101325,-1.53449347835,0.732689219987,275.35,33.9033746226,228.710950081,241.710830371,0.61,1.0,2740,5.2,4.53785605519,0.9,274.442101109,322,6685200,1.0386564904,0.532139836396,-0.0269375200639,6685198.34692,483.019750274,282.55,279.199684425,0.07411,0.094
6688800,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.6384,7089.6384,3544.8192,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9,0.341,0.06906,101325,-1.53449347835,0.732689219987,275.95,361.124088363,255.24262398,501.984994154,0.59,0.9,1220,5.2,4.53785605519,0.9,275.752022027,328,6688800,0.894759032544,0.676037294251,-0.026652828342,6688799.11607,483.281605596,283.75,280.056901523,0.07358,0.094
6692400,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,1494.576,1494.576,747.288,946.1952,946.1952,473.0976,7089.6384,7089.6384,3544.8192,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,44,9,9,0.341,0.06906,101325,-1.53449347835,0.732689219987,277.55,590.754014273,238.859227872,656.551578073,0.62,1.0,2000,6.2,4.53785605519,0.3,272.194544493,311,6692400,0.795171532143,0.775624794652,-0.0263681250847,6692399.88556,483.543460942,284.85,281.305988045,0.07124,0.094
6696000,1328.512,1328.512,664.256,841.0624,841.0624,420.5312,1328.512,1328.512,664.256,841.0624,841.0624,420.5312,6301.9008,6301.9008,3150.9504,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,5,5,39,8,8,0.341,0.06906,101325,-1.53449347835,0.732689219987,278.75,674.177033493,218.371527778,707.560084034,0.58,1.0,2000,5.2,4.88692190558,0.1,272.980850619,315,6696000,0.758772631629,0.812023695166,-0.0260834104153,6696000.65538,483.805316314,287.05,282.79771915,0.06842,0.094
6699600,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10,0.341,0.06906,101325,-1.53449347835,0.732689219987,278.75,748.106506239,183.739583333,721.061588738,0.54,0.8,2000,4.6,4.36332312999,0.1,274.026936443,320,6699600,0.794648873104,0.776147453691,-0.0257986844573,6699601.42555,484.067171709,288.15,283.284607799,0.06757,0.094
6703200,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10,0.341,0.1599,101325,-1.53449347835,0.732689219987,278.75,691.891557734,152.117647059,590.492877493,0.52,0.2,2000,4.6,5.06145483078,0.2,275.526379668,327,6703200,0.893803397785,0.67699292901,-0.0255139473342,6703202.19605,484.329027129,288.75,283.552952711,0.06671,0.094
6706800,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10,0.341,0.1599,101325,-1.53449347835,0.732689219987,277.55,607.632644272,131.382352941,444.186342593,0.48,0.2,2000,5.2,5.41052068118,0.1,274.315134877,321,6706800,1.03736154321,0.533434783587,-0.0252291991694,6706802.96688,484.590882574,288.75,283.075111531,0.06631,0.094
6710400,1660.64,1660.64,830.32,1051.328,1051.328,525.664,1660.64,1660.64,830.32,1051.328,1051.328,525.664,7877.376,7877.376,3938.688,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,293.15,297.15,894,6,6,49,10,10,0.341,0.1599,101325,-1.53449347835,0.732689219987,277.05,509.960823511,101.456521739,286.928901007,0.41,0.2,2000,6.7,4.88692190558,0.1,275.716210576,328,6710400,1.20818635668,0.362609970119,-0.0249444400863,6710403.73804,484.852738042,290.35,283.469512173,0.06646,0.094
