time,ahu_reaPFanExt_y,reaQHea_y,ahu_reaPFanSup_y,reaQHea_y,reaPPum_y,reaQHea_y,oveTZonSet_u,reaTZon_y
3024000,268.16725301343365,50987.74337515114,515.920362256459,50987.74337515114,139.73033954669938,50987.74337515114,292.15,292.0783023143387
3024030,268.16725301342507,51353.57076447039,515.920362256459,51353.57076447039,139.90891617086677,51353.57076447039,292.15,292.0771555503434
3024060,268.1672530134193,51723.14024490207,515.920362256459,51723.14024490207,140.08927319845688,51723.14024490207,292.15,292.07603403758355
3024090,268.1672530134198,52096.316339115576,515.920362256459,52096.316339115576,140.27134547336956,52096.316339115576,292.15,292.07493820086404
3024120,268.167253013424,52472.96147867118,515.920362256459,52472.96147867118,140.4550671623578,52472.96147867118,292.15,292.07386845708356
3024150,268.1672530134292,52852.93605202447,515.920362256459,52852.93605202447,140.64037177977588,52852.93605202447,292.15,292.07282521501503
3024180,268.16725301342115,53236.09845533544,515.920362256459,53236.09845533544,140.82719221287195,53236.09845533544,292.15,292.0718088750837
3024210,268.1672530134198,53622.301765858814,515.920362256459,53622.301765858814,141.01546074527712,53622.301765858814,292.15,292.0708198291205
3024240,268.1672530134237,54011.41120455795,515.920362256459,54011.41120455795,141.20510909268813,54011.41120455795,292.15,292.06985846022343
3024270,268.1672530134291,54403.26709464179,515.920362256459,54403.26709464179,141.39606841839003,54403.26709464179,292.15,292.0689251424019
3024300,268.16725301342126,54797.72904604896,515.920362256459,54797.72904604896,141.58826936313642,54797.72904604896,292.15,292.06802024041605
3024330,268.16725301341586,55194.637619112684,515.920362256459,55194.637619112684,141.78164207662311,55194.637619112684,292.15,292.0671441095386
3024360,268.16725301341637,55593.85320720194,515.920362256459,55593.85320720194,141.97611624570774,55593.85320720194,292.15,292.0662970953198
3024390,268.1672530134207,55995.20403569711,515.920362256459,55995.20403569711,142.17162112213217,55995.20403569711,292.15,292.0654795333517
3024420,268.1672530134259,56398.56016929097,515.920362256459,56398.56016929097,142.36808555149148,56398.56016929097,292.15,292.06469174903333
3024450,268.1672530134308,56803.72783092998,515.920362256459,56803.72783092998,142.56543800326503,56803.72783092998,292.15,292.0639340573344
3024480,268.16725301342234,57210.60399854177,515.920362256459,57210.60399854177,142.7636066013345,57210.60399854177,292.15,292.0632067625592
3024510,268.16725301341665,57618.945436077265,515.920362256459,57618.945436077265,142.96251915481744,57618.945436077265,292.15,292.06251015811114
3024540,268.16725301341717,58028.7222649243,515.920362256459,58028.7222649243,143.16210318922168,58028.7222649243,292.15,292.06184452625644
3024570,268.1672530134214,58439.56569948635,515.920362256459,58439.56569948635,143.36228597806277,58439.56569948635,292.15,292.06121013788993
3024600,268.16725301342586,58851.53484799467,515.920362256459,58851.53484799467,143.56299457317033,58851.53484799467,292.15,292.0606072520748
3024630,268.1672530134303,59264.35910678339,515.920362256459,59264.35910678339,143.76415584564765,59264.35910678339,292.15,292.06003611666205
3024660,268.1672530134346,59677.932928840324,515.920362256459,59677.932928840324,143.9656965052676,59677.932928840324,292.15,292.05949696692056
3024690,268.16725301342586,60091.94056828554,515.920362256459,60091.94056828554,144.16754313805058,60091.94056828554,292.15,292.05899002590064
3024720,268.1672530134202,60506.488636385286,515.920362256459,60506.488636385286,144.36962224424263,60506.488636385286,292.15,292.0585155041574
3024750,268.1672530134207,60920.93605557363,515.920362256459,60920.93605557363,144.57186027127938,60920.93605557363,292.15,292.0580735995138
3024780,268.16725301342495,61335.98537217637,515.920362256459,61335.98537217637,144.77418364593032,61335.98537217637,292.15,292.05766449683796
3024810,268.1672530134302,61749.86317405209,515.920362256459,61749.86317405209,144.9765188079596,61749.86317405209,292.15,292.0572883678284
3024840,268.167253013422,62165.42912455876,515.920362256459,62165.42912455876,145.17879224481229,62165.42912455876,292.15,292.05694537080655
3024870,268.16725301341654,62576.71706393978,515.920362256459,62576.71706393978,145.38093052653417,62576.71706393978,292.15,292.05663565051566
3024900,268.16725301341796,62990.13730929678,515.920362256459,62990.13730929678,145.58286034049556,62990.13730929678,292.15,292.05635933747436
3024930,268.1672530134229,63403.21686019866,515.920362256459,63403.21686019866,145.78450853105932,63403.21686019866,292.15,292.0561165494822
3024960,268.16725301342836,63815.17412117833,515.920362256459,63815.17412117833,145.98580212238213,63815.17412117833,292.15,292.0559073891864
3024990,268.16725301343337,64225.57673091946,515.920362256459,64225.57673091946,146.18666835940869,64225.57673091946,292.15,292.05573194507485
3025020,268.16725301342484,64634.83754042317,515.920362256459,64634.83754042317,146.38703474737633,64634.83754042317,292.15,292.0555902912167
3025050,268.16725301341904,65041.921174240924,515.920362256459,65041.921174240924,146.58682908539376,65041.921174240924,292.15,292.0554824870791
3025080,268.16725301341955,65448.77978973103,515.920362256459,65448.77978973103,146.7859794990323,65448.77978973103,292.15,292.0554085773788
3025110,268.1672530134237,65850.77826266363,515.920362256459,65850.77826266363,146.98441447434135,65850.77826266363,292.15,292.05536859195036
3025140,268.1672530134281,66255.13421837207,515.920362256459,66255.13421837207,147.1820628942362,66255.13421837207,292.15,292.0553625449901
3025170,268.1672530134324,66653.54423923208,515.920362256459,66653.54423923208,147.37885407525346,66653.54423923208,292.15,292.05539043668705
3025200,268.1672530134332,67052.1810534863,515.920362256459,67052.1810534863,147.57471779400677,67052.1810534863,292.15,292.0554522517446
3025230,268.1672530134349,67447.51261036431,515.920362256459,67447.51261036431,147.76958432025984,67447.51261036431,292.15,292.055547959516
3025260,268.16725301342507,67840.2700968957,515.920362256459,67840.2700968957,147.96338445396103,67840.2700968957,292.15,292.05567751398473
3025290,268.1672530134193,68230.23097820245,515.920362256459,68230.23097820245,148.1560495602425,68230.23097820245,292.15,292.05584085374875
3025320,268.1672530134201,68617.29126432298,515.920362256459,68617.29126432298,148.3475116016402,68617.29126432298,292.15,292.05603790199945
3025350,268.1672530134247,69001.27852379228,515.920362256459,69001.27852379228,148.53770316920566,69001.27852379228,292.15,292.05626856650844
3025380,268.16725301343,69382.04544497556,515.920362256459,69382.04544497556,148.72655751349274,69382.04544497556,292.15,292.0565327396266
3025410,268.16725301342177,69759.43698472042,515.920362256459,69759.43698472042,148.91400857540845,69759.43698472042,292.15,292.05683029829754
3025440,268.16725301341626,70133.30490256,515.920362256459,70133.30490256,149.09999101663254,70133.30490256,292.15,292.0571611040856
3025470,268.1672530134169,70503.5005510879,515.920362256459,70503.5005510879,149.28444024940714,70503.5005510879,292.15,292.0575250032183
3025500,268.16725301342115,70869.87868685651,515.920362256459,70869.87868685651,149.46729246567108,70869.87868685651,292.15,292.05792182664396
3025530,268.1672530134263,71232.29548230146,515.920362256459,71232.29548230146,149.64848466553224,71232.29548230146,292.15,292.0583513901036
3025560,268.1672530134313,71590.60986403894,515.920362256459,71590.60986403894,149.82795468505853,71590.60986403894,292.15,292.05881349421804
3025590,268.16725301342274,71944.68284401883,515.920362256459,71944.68284401883,150.0056412233628,71944.68284401883,292.15,292.05930792458815
3025620,268.16725301341694,72294.3781213858,515.920362256459,72294.3781213858,150.18148386896755,72294.3781213858,292.15,292.0598344519107
3025650,268.16725301341745,72639.56183605317,515.920362256459,72639.56183605317,150.355423125405,72639.56183605317,292.15,292.06039283210714
3025680,268.1672530134217,72980.10290760829,515.920362256459,72980.10290760829,150.52740043605667,72980.10290760829,292.15,292.060982806466
3025710,268.16725301342694,73315.87294866265,515.920362256459,73315.87294866265,150.6973582082059,73315.87294866265,292.15,292.06160410179945
3025740,268.16725301343195,73646.74649284068,515.920362256459,73646.74649284068,150.86523983628663,73646.74649284068,292.15,292.0622564306123
3025770,268.16725301342336,73972.60097529762,515.920362256459,73972.60097529762,151.03098972431292,73972.60097529762,292.15,292.06293949128377
3025800,268.1672530134177,74293.31690639323,515.920362256459,74293.31690639323,151.19455330748508,74293.31690639323,292.15,292.0636529682617
3025830,268.1672530134181,74608.77788155265,515.920362256459,74608.77788155265,151.35587707294832,74608.77788155265,292.15,292.064396532269
3025860,268.1672530134224,74918.87072436395,515.920362256459,74918.87072436395,151.51490857970404,74918.87072436395,292.15,292.0651698405214
3025890,268.16725301342774,75223.48550817114,515.920362256459,75223.48550817114,151.6715964776652,75223.48550817114,292.15,292.0659725369566
3025920,268.1672530134328,75522.51567957929,515.920362256459,75522.51567957929,151.8258905258496,75522.51567957929,292.15,292.0668042524744
3025950,268.16725301342416,75815.8580823282,515.920362256459,75815.8580823282,151.9777416097003,75815.8580823282,292.15,292.06766460518685
3025980,268.1672530134184,76103.41306685162,515.920362256459,76103.41306685162,152.1271017575423,76103.41306685162,292.15,292.06855320067865
3026010,268.16725301341893,76385.08451055325,515.920362256459,76385.08451055325,152.2739241561552,76385.08451055325,292.15,292.0694696322768
3026040,268.16725301342325,76660.77991671981,515.920362256459,76660.77991671981,152.41816316548054,76660.77991671981,292.15,292.07041348133015
3026070,268.1672530134285,76930.41042692268,515.920362256459,76930.41042692268,152.55977433245184,76930.41042692268,292.15,292.0713843174958
3026100,268.1672530134336,77193.89091171575,515.920362256459,77193.89091171575,152.6987144039635,77193.89091171575,292.15,292.0723816990359
