time,ahu_reaPFanExt_y,reaQHea_y,ahu_reaPFanSup_y,reaPPum_y
3024000,268.16725301343365,50987.74337515114,515.920362256459,139.73033954669938
3024030,268.16725301342507,51353.57076447039,515.920362256459,139.90891617086677
3024060,268.1672530134193,51723.14024490207,515.920362256459,140.08927319845688
3024090,268.1672530134198,52096.316339115576,515.920362256459,140.27134547336956
3024120,268.167253013424,52472.96147867118,515.920362256459,140.4550671623578
3024150,268.1672530134292,52852.93605202447,515.920362256459,140.64037177977588
3024180,268.16725301342115,53236.09845533544,515.920362256459,140.82719221287195
3024210,268.1672530134198,53622.301765858814,515.920362256459,141.01546074527712
3024240,268.1672530134237,54011.41120455795,515.920362256459,141.20510909268813
3024270,268.1672530134291,54403.26709464179,515.920362256459,141.39606841839003
3024300,268.16725301342126,54797.72904604896,515.920362256459,141.58826936313642
3024330,268.16725301341586,55194.637619112684,515.920362256459,141.78164207662311
3024360,268.16725301341637,55593.85320720194,515.920362256459,141.97611624570774
3024390,268.1672530134207,55995.20403569711,515.920362256459,142.17162112213217
3024420,268.1672530134259,56398.56016929097,515.920362256459,142.36808555149148
3024450,268.1672530134308,56803.72783092998,515.920362256459,142.56543800326503
3024480,268.16725301342234,57210.60399854177,515.920362256459,142.7636066013345
3024510,268.16725301341665,57618.945436077265,515.920362256459,142.96251915481744
3024540,268.16725301341717,58028.7222649243,515.920362256459,143.16210318922168
3024570,268.1672530134214,58439.56569948635,515.920362256459,143.36228597806277
3024600,268.16725301342586,58851.53484799467,515.920362256459,143.56299457317033
3024630,268.1672530134303,59264.35910678339,515.920362256459,143.76415584564765
3024660,268.1672530134346,59677.932928840324,515.920362256459,143.9656965052676
3024690,268.16725301342586,60091.94056828554,515.920362256459,144.16754313805058
3024720,268.1672530134202,60506.488636385286,515.920362256459,144.36962224424263
3024750,268.1672530134207,60920.93605557363,515.920362256459,144.57186027127938
3024780,268.16725301342495,61335.98537217637,515.920362256459,144.77418364593032
3024810,268.1672530134302,61749.86317405209,515.920362256459,144.9765188079596
3024840,268.167253013422,62165.42912455876,515.920362256459,145.17879224481229
3024870,268.16725301341654,62576.71706393978,515.920362256459,145.38093052653417
3024900,268.16725301341796,62990.13730929678,515.920362256459,145.58286034049556
3024930,268.1672530134229,63403.21686019866,515.920362256459,145.78450853105932
3024960,268.16725301342836,63815.17412117833,515.920362256459,145.98580212238213
3024990,268.16725301343337,64225.57673091946,515.920362256459,146.18666835940869
3025020,268.16725301342484,64634.83754042317,515.920362256459,146.38703474737633
