time,ahu_reaPFanExt_y,reaQHea_y,ahu_reaPFanSup_y,reaPPum_y
1970-02-05 00:00:00,268.16725301343365,50987.74337515114,515.920362256459,139.73033954669938
1970-02-05 00:00:30,268.1672530134295,51353.76958044516,515.920362256459,139.90901690364228
1970-02-05 00:01:00,268.1672530134176,51723.37436271936,515.920362256459,140.08939056822845
1970-02-05 00:01:30,268.16725301341336,52096.55838552081,515.920362256459,140.27146647523708
1970-02-05 00:02:00,268.16725301341637,52473.202591338166,515.920362256459,140.45518760724693
1970-02-05 00:02:30,268.1672530134221,52853.17315653318,515.920362256459,140.64049023823506
1970-02-05 00:03:00,268.16725301342774,53236.330480653996,515.920362256459,140.82730817640208
1970-02-05 00:03:30,268.16725301343257,53622.53075406666,515.920362256459,141.01557401625863
1970-02-05 00:04:00,268.16725301342376,54011.631613102894,515.920362256459,141.20521957426192
1970-02-05 00:04:30,268.1672530134178,54403.48292888928,515.920362256459,141.3961760490793
1970-02-05 00:05:00,268.1672530134183,54797.9369221712,515.920362256459,141.588374095485
1970-02-05 00:05:30,268.1672530134225,55194.842569401946,515.920362256459,141.7817438685759
1970-02-05 00:06:00,268.16725301342774,55594.04784812782,515.920362256459,141.97621505724322
1970-02-05 00:06:30,268.1672530134328,55995.39863222101,515.920362256459,142.17171691443318
1970-02-05 00:07:00,268.16725301342433,56398.73974513092,515.920362256459,142.36817828696545
1970-02-05 00:07:30,268.16725301341853,56803.914246126704,515.920362256459,142.56552764561806
1970-02-05 00:08:00,268.1672530134192,57210.76416497373,515.920362256459,142.76369311556317
1970-02-05 00:08:30,268.1672530134235,57619.130014349874,515.920362256459,142.96260250717347
1970-02-05 00:09:00,268.16725301342876,58028.8514836222,515.920362256459,143.16218334721043
1970-02-05 00:09:30,268.1672530134338,58439.76698957973,515.920362256459,143.36236291046256
1970-02-05 00:10:00,268.1672530134253,58851.713854722686,515.920362256459,143.56306825173735
1970-02-05 00:10:30,268.16725301341955,59264.52879327034,515.920362256459,143.76422623826937
1970-02-05 00:11:00,268.1672530134202,59678.04751276091,515.920362256459,143.96576358249104
1970-02-05 00:11:30,268.1672530134237,60092.10175499138,515.920362256459,144.16760687505624
1970-02-05 00:12:00,268.16725301342836,60506.53679263768,515.920362256459,144.3696826205506
1970-02-05 00:12:30,268.1672530134332,60921.1736454096,515.920362256459,144.57191726555814
1970-02-05 00:13:00,268.1672530134245,61335.85471532579,515.920362256459,144.77423723547358
