time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceDistrictHeatingPower,LowerSetp[1],UpperSetp[1],UpperCO2[1],pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul,InternalGainsRad[1],Occupancy[1],InternalGainsLat[1],InternalGainsCon[1],EmissionsElectricPower,EmissionsDistrictHeatingPower,EmissionsGasPower,EmissionsBiomassPower,EmissionsSolarThermalPower
1970-02-05 00:00:00,0.04281,0.03857,0.03729,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,273.55,0.0,0.0,0.0,0.85,0.7,3000.0,13.9,4.71238898038,0.7,265.0399643,280.0,3024000,2.45470605613,-0.883909729334,-0.288537866471,3022589.56003,216.667323009,275.85,274.894382418,172.734722,4,86.367361,172.734722,0.209,0.1163,0.2,0,0
1970-02-05 00:15:00,0.04281,0.03857,0.03729,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,273.625,0.0,0.0,0.0,0.8575,0.74953125,3000.0,13.775,4.71238898038,0.72890625,265.279577646,281.066693474,3024900,2.45856077915,-0.887764452358,-0.28848586169,3023489.49526,216.732768145,275.8,274.894762373,176.7475125,4,88.3737605,176.7475125,0.209,0.1163,0.2,0,0
1970-02-05 00:30:00,0.04281,0.03857,0.03729,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,273.7,0.0,0.0,0.0,0.865,0.80375,3000.0,13.65,4.71238898038,0.752083333333,265.484172419,282.037224265,3025800,2.45875583164,-0.887959504843,-0.288433848182,3024389.43058,216.798213289,275.75,274.894860225,180.76032,4,90.38016,180.76032,0.209,0.1163,0.2,0,0
1970-02-05 00:45:00,0.04281,0.03857,0.03729,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,273.775,0.0,0.0,0.0,0.8725,0.85609375,3000.0,13.525,4.71238898038,0.77421875,265.694701858,282.989142923,3026700,2.45528737237,-0.884491045571,-0.28838182595,3025289.36598,216.863658438,275.7,274.894677444,184.7731105,4,92.3865595,184.7731105,0.209,0.1163,0.2,0,0
1970-02-05 01:00:00,0.04281,0.03857,0.0328,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,273.85,0.0,0.0,0.0,0.88,0.9,3000.0,13.4,4.71238898038,0.8,265.966571345,284.0,3027600,2.44821579743,-0.877419470638,-0.288329794995,3026189.30147,216.929103593,275.65,274.894215488,188.78976,4,94.39488,188.78976,0.209,0.1163,0.2,0,0
1970-02-05 01:15:00,0.04281,0.03857,0.0328,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,273.925,0.0,0.0,0.0,0.8875,0.93671875,2545.3125,13.275,4.71238898038,0.86171875,266.763310526,286.754329528,3028500,2.4376611011,-0.866864774308,-0.288277755321,3027089.23704,216.994548755,275.6,274.8934758,192.802559,5,96.4012795,192.802559,0.209,0.1163,0.2,0,0
1970-02-05 01:30:00,0.04281,0.03857,0.0328,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,274.0,0.0,0.0,0.0,0.895,0.96875,1545.0,13.15,4.71238898038,0.952083333333,268.239974784,291.362035604,3029400,2.42379413519,-0.852997808393,-0.288225706927,3027989.1727,217.059993923,275.55,274.892459815,196.8153665,5,98.407679,196.8153665,0.209,0.1163,0.2,0,0
1970-02-05 01:45:00,0.04281,0.03857,0.0328,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,274.075,0.0,0.0,0.0,0.9025,0.99140625,544.6875,13.025,4.71238898038,1.0,269.16741419,295.538723878,3030300,2.40682521706,-0.836028890267,-0.288173649817,3028889.10844,217.125439096,275.5,274.891168954,200.831999,5,100.4159995,200.831999,0.209,0.1163,0.2,0,0
1970-02-05 02:00:00,0.04281,0.03857,0.02971,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,274.15,0.0,0.0,0.0,0.91,1.0,90.0,12.9,4.71238898038,1.0,269.136373673,297.0,3031200,2.38699175436,-0.816195427569,-0.288121583992,3029789.04426,217.190884277,275.45,274.889604626,204.844815,5,102.4224075,204.844815,0.209,0.1163,0.2,0,0
1970-02-05 02:15:00,0.04281,0.03857,0.02971,0.0828,288.15,299.15,1000,101325,0.221133216228,0.970926662884,274.032142857,0.0,0.0,0.0,0.90475,1.0,90.0,12.9105769231,4.71238898038,0.925,267.620993032,293.973684211,3032100,2.36454637943,-0.793750052636,-0.288069509454,3030688.98017,217.256329463,275.4109375,274.818593932,208.857597,5,104.4287985,208.857597,0.209,0.1163,0.2,0,0
