time,ahu_reaPFanExt_y,reaQHea_y,ahu_reaPFanSup_y,reaPPum_y
3024000,268.16725301343365,50987.74337515114,515.920362256459,139.73033954669938
3024030,268.1672530134295,51353.76958044516,515.920362256459,139.90901690364228
3024060,268.1672530134176,51723.37436271936,515.920362256459,140.08939056822845
3024090,268.16725301341336,52096.55838552081,515.920362256459,140.27146647523708
3024120,268.16725301341637,52473.202591338166,515.920362256459,140.45518760724693
3024150,268.1672530134221,52853.17315653318,515.920362256459,140.64049023823506
3024180,268.16725301342774,53236.330480653996,515.920362256459,140.82730817640208
3024210,268.16725301343257,53622.53075406666,515.920362256459,141.01557401625863
3024240,268.16725301342376,54011.631613102894,515.920362256459,141.20521957426192
3024270,268.1672530134178,54403.48292888928,515.920362256459,141.3961760490793
3024300,268.1672530134183,54797.9369221712,515.920362256459,141.588374095485
3024330,268.1672530134225,55194.842569401946,515.920362256459,141.7817438685759
3024360,268.16725301342774,55594.04784812782,515.920362256459,141.97621505724322
3024390,268.1672530134328,55995.39863222101,515.920362256459,142.17171691443318
3024420,268.16725301342433,56398.73974513092,515.920362256459,142.36817828696545
3024450,268.16725301341853,56803.914246126704,515.920362256459,142.56552764561806
3024480,268.1672530134192,57210.76416497373,515.920362256459,142.76369311556317
3024510,268.1672530134235,57619.130014349874,515.920362256459,142.96260250717347
3024540,268.16725301342876,58028.8514836222,515.920362256459,143.16218334721043
3024570,268.1672530134338,58439.76698957973,515.920362256459,143.36236291046256
3024600,268.1672530134253,58851.713854722686,515.920362256459,143.56306825173735
3024630,268.16725301341955,59264.52879327034,515.920362256459,143.76422623826937
3024660,268.1672530134202,59678.04751276091,515.920362256459,143.96576358249104
3024690,268.1672530134237,60092.10175499138,515.920362256459,144.16760687505624
3024720,268.16725301342836,60506.53679263768,515.920362256459,144.3696826205506
3024750,268.1672530134332,60921.1736454096,515.920362256459,144.57191726555814
3024780,268.1672530134245,61335.85471532579,515.920362256459,144.77423723547358
3024810,268.1672530134189,61750.4046958263,515.920362256459,144.97656897086281
