time,fcu_reaPFan_y,fcu_reaPHea_y,fcu_reaPCoo_y,fcu_reaPHea_y,con_oveTSetHea_u,con_oveTSetCoo_u,zon_reaTRooAir_y
28857600,2.5126970132325826e-20,0.0,2.9531122777043787e-08,0.0,288.15,303.15,295.0539080658526
28857630,3.030564952808128e-22,0.0,3.251221676798853e-09,0.0,288.15,303.15,295.04738996662695
28857660,3.6490562450567075e-24,0.0,3.576388830006215e-10,0.0,288.15,303.15,295.04087088191216
28857690,5.053924577466761e-26,1.4064110050280893e-10,0.0,1.4064110050280893e-10,288.15,303.15,295.0343510460487
28857720,2.214838569471765e-27,2.951392000304825e-11,0.0,2.951392000304825e-11,288.15,303.15,295.027830048892
28857750,1.3317574641068772e-28,0.0,2.176405913443797e-12,0.0,288.15,303.15,295.0213077206531
28857780,1.8371159712071738e-27,2.7009439108230788e-11,0.0,2.7009439108230788e-11,288.15,303.15,295.01478389806425
28857810,5.038753230371707e-28,1.4178816143488702e-11,0.0,1.4178816143488702e-11,288.15,303.15,295.00825848372193
28857840,7.075101306519617e-33,0.0,1.597666503084894e-14,0.0,288.15,303.15,295.0017314050202
28857870,3.9439879293893696e-30,0.0,3.780904564473578e-13,0.0,288.15,303.15,294.9952026064449
28857900,2.8180963907679496e-32,1.0677751575814632e-13,0.0,1.0677751575814632e-13,288.15,303.15,294.98867204899386
28857930,1.2199763727491563e-31,2.2266862651375126e-13,0.0,2.2266862651375126e-13,288.15,303.15,294.98213970799424
28857960,1.7868263418905793e-34,8.540657233437367e-15,0.0,8.540657233437367e-15,288.15,303.15,294.97560557098217
28857990,1.870705440072497e-33,0.0,8.308553849007326e-15,0.0,288.15,303.15,294.9690696360197
28858020,1.1150428454762853e-35,0.0,6.428411339153472e-16,0.0,288.15,303.15,294.96253191035646
28858050,3.594993388611211e-35,3.8557055681297564e-15,0.0,3.8557055681297564e-15,288.15,303.15,294.95599240929687
28858080,7.41071296280969e-37,5.547346942369863e-16,0.0,5.547346942369863e-16,288.15,303.15,294.9494511551946
28858110,5.787465553369472e-37,0.0,1.4736792230029508e-16,0.0,288.15,303.15,294.94290817653854
28858140,2.499808158062942e-38,0.0,3.068847082357259e-17,0.0,288.15,303.15,294.93636350712626
28858170,9.308955129192917e-39,6.254529530363749e-17,0.0,6.254529530363749e-17,288.15,303.15,294.9298171853185
28858200,7.517462156596817e-40,1.780750611780912e-17,0.0,1.780750611780912e-17,288.15,303.15,294.923269253368
28858230,1.3603355903670478e-40,0.0,2.2767443309868818e-18,0.0,288.15,303.15,294.91671975681874
28858260,1.9490931601131635e-41,0.0,8.633535838855614e-19,0.0,288.15,303.15,294.9101687439681
28858290,1.845419969318809e-42,8.870703450357767e-19,0.0,8.870703450357767e-19,288.15,303.15,294.9036162653863
28858320,4.679818574243622e-43,4.474679436109282e-19,0.0,4.474679436109282e-19,288.15,303.15,294.8970623734874
28858350,2.1998898601110097e-44,0.0,2.9153003274151945e-20,0.0,288.15,303.15,294.8905071221477
28858380,1.0468745559672351e-44,0.0,2.0142856705624795e-20,0.0,288.15,303.15,294.88395056636585
28858410,2.164108209316384e-46,9.66850251387195e-21,0.0,9.66850251387195e-21,288.15,303.15,294.87739276196254
28858440,2.2181702968805026e-46,9.803030469676785e-21,0.0,9.803030469676785e-21,288.15,303.15,294.8708337653144
28858470,1.4342781526985867e-48,0.0,2.3682067020091073e-22,0.0,288.15,303.15,294.86427363311975
28858500,4.47324412354627e-48,0.0,4.1880145595843113e-22,0.0,288.15,303.15,294.8577124221932
28858530,2.3271572772604826e-51,3.1882866099343103e-23,0.0,3.1882866099343103e-23,288.15,303.15,294.85115018928514
28858560,8.626358639018022e-50,1.943576708520283e-22,0.0,1.943576708520283e-22,288.15,303.15,294.84458699092545
28858590,8.957356473096688e-53,6.270405121709186e-24,0.0,6.270405121709186e-24,288.15,303.15,294.8380228832874
28858620,1.5928830557935682e-51,0.0,7.94164819723866e-24,0.0,288.15,303.15,294.83145792207057
28858650,1.2100984300314285e-53,0.0,6.929383579934351e-25,0.0,288.15,303.15,294.82489216240043
28858680,2.8160359182439627e-53,3.527127876505391e-24,0.0,3.527127876505391e-24,288.15,303.15,294.8183256587433
28858710,5.879507202299599e-55,5.101348943889391e-25,0.0,5.101348943889391e-25,288.15,303.15,294.8117584648346
28858740,4.755042370660262e-55,0.0,1.3775222762497632e-25,0.0,288.15,303.15,294.80519063361936
28858770,2.039759443449988e-56,0.0,2.85541676554964e-26,0.0,288.15,303.15,294.79862221720333
28858800,7.631851306002947e-57,5.826465019139456e-26,0.0,5.826465019139456e-26,288.15,303.15,294.79205326681347
28858830,5.9392555912779155e-58,1.6265233637857105e-26,0.0,1.6265233637857105e-26,288.15,303.15,294.7854838327674
28858860,1.1543526072728876e-58,0.0,2.1525907310317823e-27,0.0,288.15,303.15,294.7789139644503
28858890,1.5476859229101445e-59,0.0,7.886471970544739e-28,0.0,288.15,303.15,294.77234371029795
28858920,1.6215048170367004e-60,8.513354306491206e-28,0.0,8.513354306491206e-28,288.15,303.15,294.76577311778624
28858950,3.7265984393620555e-61,4.083115560854559e-28,0.0,4.083115560854559e-28,288.15,303.15,294.75920223342564
28858980,2.0608615243749785e-62,0.0,2.881688629543678e-29,0.0,288.15,303.15,294.75263110276063
28859010,8.44196969750218e-63,0.0,1.844942143922037e-29,0.0,288.15,303.15,294.74605977037123
28859040,2.2520446533945087e-64,1.0047047875661647e-29,0.0,1.0047047875661647e-29,288.15,303.15,294.73948827988
28859070,1.818902840188924e-64,9.031029081808942e-30,0.0,9.031029081808942e-30,288.15,303.15,294.73291667396154
28859100,1.8773324238296012e-66,0.0,2.752827507867065e-31,0.0,288.15,303.15,294.72634499435446
28859130,3.752781494017601e-66,0.0,3.8923498905933786e-31,0.0,288.15,303.15,294.71977328187495
28859160,6.551360501610128e-68,1.7142680793438318e-31,0.0,1.7142680793438318e-31,288.15,303.15,294.71320157661006
28859190,3.8714900942757553e-69,0.0,1.250099443602054e-32,0.0,288.15,303.15,294.706629917416
28859220,3.730841164256265e-70,1.2933948956757575e-32,0.0,1.2933948956757575e-32,288.15,303.15,294.7000583437206
28859250,1.1408687043777867e-72,7.150912969281711e-34,0.0,7.150912969281711e-34,288.15,303.15,294.6934868937197
28859280,1.3376995298162023e-71,0.0,7.343997699446779e-34,0.0,288.15,303.15,294.6869155987265
28859310,7.229660660580382e-71,5.68920794724087e-33,0.0,5.68920794724087e-33,288.15,303.15,294.68034449588055
28859340,3.618937942542898e-75,0.0,1.2070859363250202e-35,0.0,288.15,303.15,294.67377362367057
28859370,1.960838143610203e-78,0.0,2.8085022653383553e-37,0.0,288.15,303.15,294.66720301366104
28859400,1.0722764940693382e-79,0.0,6.564270644765948e-38,0.0,288.15,303.15,294.6606326985357
28859430,1.8886791426569756e-81,0.0,8.706917098673215e-39,0.0,288.15,303.15,294.654062711975
28859460,3.9799828082426253e-81,4.210465408842298e-38,0.0,4.210465408842298e-38,288.15,303.15,294.64749308600574
28859490,7.396987819074837e-80,0.0,5.441731184171404e-38,0.0,288.15,303.15,294.64092385687786
28859520,3.243132866137163e-81,0.0,1.1385824275919867e-38,0.0,288.15,303.15,294.6343550525487
28859550,5.285334087587678e-84,1.5308876990003592e-39,0.0,1.5308876990003592e-39,288.15,303.15,294.62778670088227
28859580,1.0716639888942968e-83,2.1779940219392327e-39,0.0,2.1779940219392327e-39,288.15,303.15,294.62121883066465
28859610,2.7411347147479856e-85,3.4800623513997696e-40,0.0,3.4800623513997696e-40,288.15,303.15,294.6146514706231
28859640,3.65223614158371e-87,0.0,1.2039028428164754e-41,0.0,288.15,303.15,294.60808464909275
28859670,1.40149284740482e-87,0.0,7.44991105856047e-42,0.0,288.15,303.15,294.6015183939102
28859700,1.732269326633485e-89,0.0,8.273360553293046e-43,0.0,288.15,303.15,294.5949527323864
28859730,1.1143737733080806e-90,6.986541990638683e-43,0.0,6.986541990638683e-43,288.15,303.15,294.58838769130625
28859760,1.6232735454740884e-91,2.6632507974957343e-43,0.0,2.6632507974957343e-43,288.15,303.15,294.58182329693796
28859790,5.245319261450444e-94,1.51198467212931e-44,0.0,1.51198467212931e-44,288.15,303.15,294.5752595750436
28859820,2.45249192435752e-94,0.0,3.0974752136395005e-45,0.0,288.15,303.15,294.568696550891
28859850,1.592156223825538e-95,0.0,7.881243296557852e-46,0.0,288.15,303.15,294.56213424926364
28859880,3.276256070752498e-99,3.763086759400735e-47,0.0,3.763086759400735e-47,288.15,303.15,294.55557269447087
28859910,4.4024115907721625e-98,1.3773759124531827e-46,0.0,1.3773759124531827e-46,288.15,303.15,294.5490119103562
28859940,1.1843943786611789e-99,2.2557176037594545e-47,0.0,2.2557176037594545e-47,288.15,303.15,294.542451920305
28859970,2.1233129380705788e-101,0.0,9.046324162392369e-49,0.0,288.15,303.15,294.5358927472508
28860000,6.691585847944781e-102,0.0,5.070085986603599e-49,0.0,288.15,303.15,294.52933441368106
28860030,4.595758139012339e-104,0.0,4.1946310969978674e-50,0.0,288.15,303.15,294.52277694164127
