time,fcu_reaPFan_y,fcu_reaPHea_y,fcu_reaPCoo_y,fcu_reaPHea_y
1970-12-01 00:00:00,2.5126970132325826e-20,0.0,2.9531122777043787e-08,0.0
1970-12-01 00:00:30,3.030564952808128e-22,0.0,3.251221676798853e-09,0.0
1970-12-01 00:01:00,3.6490562450567075e-24,0.0,3.576388830006215e-10,0.0
1970-12-01 00:01:30,5.053924577466761e-26,1.4064110050280893e-10,0.0,1.4064110050280893e-10
1970-12-01 00:02:00,2.214838569471765e-27,2.951392000304825e-11,0.0,2.951392000304825e-11
1970-12-01 00:02:30,1.3317574641068772e-28,0.0,2.176405913443797e-12,0.0
1970-12-01 00:03:00,1.8371159712071738e-27,2.7009439108230788e-11,0.0,2.7009439108230788e-11
1970-12-01 00:03:30,5.038753230371707e-28,1.4178816143488702e-11,0.0,1.4178816143488702e-11
1970-12-01 00:04:00,7.075101306519617e-33,0.0,1.597666503084894e-14,0.0
1970-12-01 00:04:30,3.9439879293893696e-30,0.0,3.780904564473578e-13,0.0
1970-12-01 00:05:00,2.8180963907679496e-32,1.0677751575814632e-13,0.0,1.0677751575814632e-13
1970-12-01 00:05:30,1.2199763727491563e-31,2.2266862651375126e-13,0.0,2.2266862651375126e-13
1970-12-01 00:06:00,1.7868263418905793e-34,8.540657233437367e-15,0.0,8.540657233437367e-15
1970-12-01 00:06:30,1.870705440072497e-33,0.0,8.308553849007326e-15,0.0
1970-12-01 00:07:00,1.1150428454762853e-35,0.0,6.428411339153472e-16,0.0
1970-12-01 00:07:30,3.594993388611211e-35,3.8557055681297564e-15,0.0,3.8557055681297564e-15
1970-12-01 00:08:00,7.41071296280969e-37,5.547346942369863e-16,0.0,5.547346942369863e-16
1970-12-01 00:08:30,5.787465553369472e-37,0.0,1.4736792230029508e-16,0.0
1970-12-01 00:09:00,2.499808158062942e-38,0.0,3.068847082357259e-17,0.0
1970-12-01 00:09:30,9.308955129192917e-39,6.254529530363749e-17,0.0,6.254529530363749e-17
1970-12-01 00:10:00,7.517462156596817e-40,1.780750611780912e-17,0.0,1.780750611780912e-17
1970-12-01 00:10:30,1.3603355903670478e-40,0.0,2.2767443309868818e-18,0.0
1970-12-01 00:11:00,1.9490931601131635e-41,0.0,8.633535838855614e-19,0.0
