kpi,b1,b2,b3,b4
average demand decrease,0.3425460069874706,1.4175257137630586,94.52804684683232,11.442549257540339
average demand decrease intensity,0.0071363751455723,0.0073829464258492,0.0111209466878626,0.006882074060565803
average demand decrease index,0.2115963657009321,1.0,0.6520078756500481,0.503998984401699
average demand increase,0.2035903953609702,0.5733277250184381,58.01063964989246,4.416961426095987
average demand increase intensity,0.0042414665700202,0.0029860819011376,0.0068247811352814,0.002656563233671338
average demand increase index,1.6811414730536725,1.896399138146988,0.5730023021210572,0.2673014808592492
average power rebound,0.0207332148848675,-2.440657423834867,-0.143924767325567,-5.576693854002999
average power rebound index,1.646487366467536,-0.9600795940775992,0.5116832410571874,-0.10920894197734621
flexibility savings index,3.9304494304790327,31.41186934558594,5.0930600898878575,25.447575908888865
energy savings of demand response,1.0428417999882282,12.813502077508415,153.45132266534907,85.3038885273418
net building consumption change percentage,-3.627365844678764,-34.03402132540446,-6.013372033228652,-25.592937119057257
peak power reduction,-2.1645880228333336,-0.6898258921246923,-23.16193961527773,-5.174547310963568
cumulative average thermal discomfort,10.393840041406236,7.412493205326086,7.333253826537543,9.95605692311825
tdis_tot,4.476205020353893,5.917612400308603,0.5111621465239591,5.190885732636663
