kpi,b1,b2,b3,b4
average demand decrease,0.0816491808880235,-3.849650250659087e-08,8.045093496463265,13.032554969836252
average demand decrease intensity,0.0017010246018338,-2.0050261722182744e-10,0.0009464815878192,0.0078383764388607
average demand decrease index,0.1467963819319598,-2.5575061513016806e-08,0.0567269093886564,0.5127279524825458
average demand increase,0.3268621800417806,-7.065244685596402e-10,23.006432373189543,5.289362103430616
average demand increase intensity,0.0068096287508704,-3.679814940414793e-12,0.0027066391027281,0.003181265023174
average demand increase index,-0.2750547703546835,-2.3369746138257597e-09,0.1263009748332942,0.319767488550398
average power rebound,-0.0317901549356049,-0.0017872028736007628,-15.27545213099786,-4.753136185221743
average power rebound index,-0.3653346914938633,-0.0005831313693809848,-0.0451350095872828,-0.2047207573583652
flexibility savings index,-5.169355354555338,-0.029680186536307218,-1.0290454030013496,25.92746064790784
energy savings of demand response,-1.332290892191642,-0.020701907967152672,11.89365539546339,81.32830377366653
net building consumption change percentage,4.6341702812134224,0.054986464509758595,-0.4660824910835964,-24.400179176027716
peak power reduction,-2.0728939520333336,-3.842949070076429e-09,-28.379615425611007,3.9533924191124186
tdis_tot,0.384899330210841,0.5986925694780776,0.0065562140322854,0.4791183406768501
cumulative average thermal discomfort,0.1294052901109239,0.6055982000083304,1.8372305633741348,0.3429133502997502
