kpi,b1,b2,b3,b4
average demand decrease,0.3163950621242428,1.4175257137630586,92.022075447752,9.452435457366
average demand decrease intensity,0.006591563794255,0.0073829464258492,0.010826126523264942,0.0056851283229078
average demand decrease index,0.15054446684686,1.0,0.5931663896620619,0.4334624696314603
average demand increase,0.062286022000328,0.5733345563047948,55.794289066642776,2.776116542419789
average demand increase intensity,0.0012976254583401,0.0029861174807541,0.006564034007840327,0.0016696838454162
average demand increase index,2.0334706827006546,1.8964217340288787,0.7009219128000413,0.1684027701290044
average power rebound,0.0376493425708573,-2.440656075886361,5.248043404795414,-4.737969949255978
average power rebound index,2.105460403284484,-0.9600791542666623,0.45727247277492233,-0.0553572190399914
flexibility savings index,6.427110670055503,31.411203420089496,6.709111447176808,21.26317245295636
energy savings of demand response,2.2536392780698145,12.81321901466742,163.45864528227335,69.27181242635149
net building consumption change percentage,-7.83893985031021,-34.03326948045929,-6.405533879140197,-20.78298152823946
peak power reduction,-0.0872377469666663,-0.6898499690283799,-0.4970408113333633,-4.995806765425535
tdis_tot,4.571817529407667,6.678193535784017,1.5826811394621942,8.48555571203112
cumulative average thermal discomfort,10.746539375219244,7.412592045816723,11.957537181336988,11.196854780721026
