kpi,b1,b2,b3,b4,b5,b6
average demand decrease,0.316395062,1.417525714,92.02207545,9.452435457,4.850194444,0.091458333
average demand decrease intensity,0.006591564,0.007382946,0.010826127,0.005685128,0.007698721,0.002461204
average demand decrease index,0.150544467,1,0.59316639,0.43346247,0.200350659,0.080325972
average demand increase,0.062286022,0.573334556,55.79428907,2.776116542,-3.088888889,-0.144661111
average demand increase intensity,0.001297625,0.002986117,0.006564034,0.001669684,-0.004902998,-0.003892925
average demand increase index,2.033470683,1.896421734,0.700921913,0.16840277,-0.201637865,-0.157479982
average power rebound,0.037649343,-2.440656076,5.248043405,-4.737969949,-0.852083333,0.216658333
average power rebound index,2.105460403,-0.960079154,0.457272473,-0.055357219,0.089776975,1.008262025
tdis_tot,4.571817529,6.678193536,1.582681139,8.485555712,,
flexibility savings index,6.42711067,31.41120342,6.709111447,21.26317245,28.48710152,4.431215606
energy savings of demand response,2.253639278,12.81321901,163.4586453,69.27181243,65.5992963,-1.384473016
net building consumption change percentage,-7.83893985,-34.03326948,-6.405533879,-20.78298153,-23.97854525,12.94722629
peak power reduction,-0.087237747,-0.689849969,-0.497040811,-4.995806765,3.536,0.140590476
cumulative average thermal discomfort,10.74653938,7.412592046,2.10232683,11.19685478,1.532834758,18.39166667
