time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul,Occupancy[1],LowerSetp[1],InternalGainsLat[1],UpperSetp[1],InternalGainsCon[1],InternalGainsRad[1],UpperCO2[1],EmissionsElectricPower
1970-01-17 00:00:00,0.2535,0.2383,0.2486,101325,0.0790634151153,0.888372589265,273.25,0.0,0.0,0.0,0.9,0.2,22000.0,3.6,4.53785605519,0.2,260.820152258,262.0,1382400,2.59083694141,-1.02004061461,-0.366986369383,1379289.10641,97.1631416956,274.65,274.048545041,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 00:15:00,0.2535,0.2383,0.2486,101325,0.0790634151153,0.888372589265,273.229101562,0.0,0.0,0.0,0.8971484375,0.25125,19277.34375,3.503125,4.47649682367,0.25125,261.19723348,263.595982143,1383300,2.60512441335,-1.03432808656,-0.36695332212,1380188.89965,97.2285765061,274.6815625,274.061931033,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 00:30:00,0.2535,0.2383,0.2486,101325,0.0790634151153,0.888372589265,273.202604167,0.0,0.0,0.0,0.894479166667,0.37,13031.25,3.35,4.42513687433,0.37,261.876363672,266.464285714,1384200,2.6147958142,-1.04399948741,-0.366920262935,1381088.69295,97.2940113213,274.709166667,274.072523125,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 00:45:00,0.2535,0.2383,0.2486,101325,0.0790634151153,0.888372589265,273.174804688,0.0,0.0,0.0,0.8920703125,0.50375,6144.53125,3.196875,4.38650328411,0.50375,262.55507399,269.600446429,1385100,2.61957837423,-1.04878204744,-0.36688719183,1381988.48631,97.3594461413,274.7321875,274.080205328,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 01:00:00,0.2535,0.2383,0.2466,101325,0.0790634151153,0.888372589265,273.15,0.0,0.0,0.0,0.89,0.6,1500.0,3.1,4.36332312999,0.6,263.125914106,272.0,1386000,2.61932976094,-1.04853343415,-0.366854108806,1382888.27974,97.424880966,274.75,274.084864248,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 01:15:00,0.2535,0.2383,0.2466,101325,0.0790634151153,0.888372589265,273.144257812,0.0,0.0,0.0,0.8891796875,0.643125,0.0,3.228125,4.3530965914,0.645,263.450892917,273.296789148,1386900,2.61405714797,-1.04326082117,-0.366821013864,1383788.07324,97.4903157955,274.761953125,274.091451438,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 01:30:00,0.2535,0.2383,0.2466,101325,0.0790634151153,0.888372589265,273.1565625,0.0,0.0,0.0,0.8896875,0.655,0.0,3.575,4.35059677086,0.66,263.573312861,273.761675824,1387800,2.60391621015,-1.03311988336,-0.366787907007,1384687.8668,97.5557506298,274.766875,274.099327002,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 01:45:00,0.2535,0.2383,0.2466,101325,0.0790634151153,0.888372589265,273.165585937,0.0,0.0,0.0,0.8903515625,0.639375,0.0,3.934375,4.35446012988,0.645,263.457233576,273.345724588,1388700,2.58919035677,-1.01839402997,-0.366754788235,1385587.66042,97.6211854689,274.763359375,274.099971659,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 02:00:00,0.2535,0.2383,0.2469,101325,0.0790634151153,0.888372589265,273.15,0.0,0.0,0.0,0.89,0.6,1500.0,4.1,4.36332312999,0.6,263.125914106,272.0,1389600,2.57025636157,-0.999460034776,-0.36672165755,1386487.45412,97.6866203127,274.75,274.084864248,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 02:15:00,0.2535,0.2383,0.2469,101325,0.0790634151153,0.888372589265,273.040625,0.0,0.0,0.0,0.884609375,0.48125,6144.53125,3.934375,4.39468451498,0.4725,262.343996702,268.246503497,1390500,2.54754534019,-0.976749013396,-0.366688514954,1387387.24787,97.7520551613,274.711328125,274.014491522,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 02:30:00,0.2535,0.2383,0.2469,101325,0.0790634151153,0.888372589265,272.835,0.0,0.0,0.0,0.874375,0.283333333333,13031.25,3.575,4.45058959259,0.27,261.182945947,262.234265734,1391400,2.52150706242,-0.950710735625,-0.366655360448,1388287.0417,97.8174900147,274.640625,273.883745433,5,294.15,225,297.15,146,219,894,0.167
1970-01-17 02:45:00,0.2535,0.2383,0.2469,101325,0.0790634151153,0.888372589265,272.611875,0.0,0.0,0.0,0.864453125,0.09375,19277.34375,3.228125,4.50649467019,0.0825,259.511818133,256.354895105,1392300,2.4925823521,-0.921786025303,-0.366622194033,1389186.83559,97.8829248728,274.549609375,273.735629651,5,294.15,225,297.15,146,219,894,0.167
