time,Occupancy[1],PriceElectricPowerDynamic,LowerSetp[1],UpperSetp[1]
691200,3,0.03857,288.15,303.15
694800,3,0.03857,288.15,303.15
698400,3,0.03857,288.15,303.15
702000,4,0.03857,288.15,303.15
705600,8,0.03857,288.15,303.15
709200,17,0.03857,288.15,303.15
712800,103,0.03857,288.15,303.15
716400,379,0.05252999999999999,288.15,303.15
720000,455,0.05252999999999999,292.15,303.15
723600,507,0.05252999999999999,292.15,303.15
727200,532,0.05252999999999999,292.15,303.15
730800,375,0.05252999999999999,292.15,303.15
734400,448,0.05252999999999999,292.15,303.15
738000,399,0.05252999999999999,292.15,303.15
741600,197,0.05252999999999999,292.15,303.15
745200,95,0.05252999999999999,292.15,303.15
748800,62,0.05252999999999999,292.15,303.15
752400,39,0.05252999999999999,292.15,303.15
756000,28,0.05252999999999999,292.15,303.15
759600,11,0.05252999999999999,292.15,303.15
763200,7,0.05252999999999999,288.15,303.15
766800,4,0.05252999999999999,288.15,303.15
770400,0,0.05252999999999999,288.15,303.15
774000,0,0.03857,288.15,303.15
777600,1,0.03857,288.15,303.15
