time,winDir,TDewPoi,InternalGainsRad[1],PriceElectricPowerConstant,UpperSetp[1],PriceElectricPowerHighlyDynamic,solTim,solHouAng,PriceGasPower,nOpa,LowerSetp[1],nTot,HGloHor,winSpe,HDirNor,solDec,lon,PriceElectricPowerDynamic,HDifHor,InternalGainsCon[1],solZen,relHum,pAtm,Occupancy[1],EmissionsGasPower,ceiHei,HHorIR,lat,InternalGainsLat[1],TWetBul,TDryBul,TBlaSky,EmissionsElectricPower,cloTim,solAlt,UpperCO2[1]
1209600,6.28318530718,265.95,46.464,0.05461,303.15,0.013087399999999999,1209076.3954399999,84.78492404890001,0.002878,1.0,288.15,1.0,0.0,6.7,0.0,-0.373108806917,-1.8301522536400001,0.0444,0.0,36.096,2.81911721287,0.91,101325,0,0.18108,2700,255,0.6939429105930001,0,266.680067394,267.05,258.991210813,0.6618,1209600,-1.24832088608,1500
1213200,0.401425727959,265.35,46.464,0.05461,303.15,0.0110689,1212675.51991,85.0466597662,0.002878,1.0,288.15,1.0,0.0,5.7,0.0,-0.372985808345,-1.8301522536400001,0.0444,0.0,36.096,2.7682224466000003,0.86,101325,0,0.18108,2700,255,0.6939429105930001,0,266.4732302,267.05,258.845341827,0.6618,1213200,-1.1974261198,1500
1216800,5.49778714378,264.85,46.464,0.05461,303.15,0.0124764,1216274.64536,85.30839555520001,0.002878,1.0,288.15,1.0,0.0,4.6,0.0,-0.372862614669,-1.8301522536400001,0.0444,0.0,36.096,2.61834561381,0.83,101325,0,0.18108,3000,254,0.6939429105930001,0,266.348674405,267.05,258.723342932,0.6618,1216800,-1.04754928701,1500
1220400,5.8992128717400005,264.25,46.464,0.05461,303.15,0.0100356,1219873.77181,85.5701314162,0.002878,1.0,288.15,1.0,0.0,3.1,0.0,-0.372739225978,-1.8301522536400001,0.0444,0.0,36.096,2.43128130194,0.83,101325,0,0.18108,2100,251,0.6939429105930001,0,265.771833901,266.45,257.99544916599996,0.6618,1220400,-0.8604849751479999,1500
1224000,5.8992128717400005,264.25,46.464,0.05461,303.15,0.0123324,1223472.89924,85.8318673492,0.002878,0.6,288.15,0.6,0.0,4.1,0.0,-0.37261564236199995,-1.8301522536400001,0.0444,0.0,36.096,2.23232888069,0.86,101325,0,0.18108,2400,231,0.6939429105930001,0,265.407804924,265.95,252.62545053099998,0.6618,1224000,-0.661532553899,1500
1227600,5.11381470834,261.45,46.464,0.05461,303.15,0.01284,1227072.02767,86.0936033544,0.002878,0.4,288.15,0.6,0.0,3.1,0.0,-0.372491863911,-1.8301522536400001,0.0444,0.0,36.096,2.03140586639,0.78,101325,0,0.18108,3000,219,0.6939429105930001,0,263.476017829,264.25,249.314716645,0.6618,1227600,-0.460609539597,1500
1231200,3.92699081699,260.95,46.464,0.05461,303.15,0.0102104,1230671.1570899999,86.3553394317,0.002878,0.3,288.15,0.3,0.0,2.1,0.0,-0.372367890714,-1.8301522536400001,0.0444,0.0,36.096,1.83404865902,0.87,101325,0,0.18108,77777,211,0.6939429105930001,0,262.138689049,262.55,247.102861201,0.6618,1231200,-0.26325233223,1500
1234800,3.14159265359,260.95,46.464,0.05461,303.15,0.009117499999999999,1234270.2875,86.61707558139999,0.002878,0.6,288.15,0.6,0.609375,2.1,67.0985130112,-0.372243722862,-1.8301522536400001,0.0444,12.9044117647,36.096,1.64492097091,0.87,101325,0,0.18108,30500,217,0.6939429105930001,0,262.138689049,262.55,248.60615276,0.6618,1234800,-0.07412464411650001,1500
1238400,3.5430183815499996,257.55,552.24,0.05461,297.15,0.012271299999999999,1237869.41891,86.8788118035,0.002878,0.1,294.15,0.1,115.73160601299999,2.1,471.271857359,-0.372119360445,-1.8301522536400001,0.0444,82.637254902,419.36001600000003,1.46929620424,0.77,101325,2,0.18108,77777,197,0.6939429105930001,90,259.715417588,260.35,242.790512463,0.6618,1238400,0.101500122559,894
1242000,3.5430183815499996,260.35,552.24,0.05461,297.15,0.0141662,1241468.55131,87.1405480981,0.002878,0.1,294.15,0.1,269.637384372,3.1,816.153423195,-0.371994803553,-1.8301522536400001,0.05413,126.303921569,419.36001600000003,1.3140001801,0.74,101325,2,0.18108,77777,210,0.6939429105930001,90,262.861129979,263.75,246.64290067,0.6618,1242000,0.256796146692,894
