time,fcu_reaPHea_y,fcu_reaPFan_y,fcu_reaPCoo_y
1209600,2.2603034079751858e-174,0.0,0.0
1209630,2.4380753307262958e-175,0.0,0.0
1209660,0.0,0.0,5.801573762560761e-177
1209690,0.0,0.0,8.61893428297715e-177
1209720,8.49757694577856e-177,0.0,0.0
1209750,8.865948460490515e-177,0.0,0.0
1209780,0.0,0.0,1.038047893252273e-178
1209810,0.0,0.0,5.096326893238793e-178
1209840,0.0,0.0,8.495127735120388e-180
1209870,3.680688973265908e-178,0.0,0.0
1209900,4.42033562866814e-179,0.0,0.0
1209930,0.0,0.0,2.1418322419158927e-179
1209960,0.0,0.0,4.59505216645729e-180
1209990,1.3629643650602405e-179,0.0,0.0
1210020,4.475597478799781e-180,0.0,0.0
1210050,0.0,0.0,7.278947519902587e-181
1210080,0.0,0.0,3.4563600268988856e-181
1210110,4.024010882119096e-181,0.0,0.0
1210140,2.774333460334318e-181,0.0,0.0
1210170,0.0,0.0,1.7588642252868795e-182
1210200,0.0,0.0,1.9675938914642945e-182
1210230,0.0,0.0,1.2719251719974984e-183
1210260,2.6182200736810354e-183,0.0,0.0
1210290,7.916925913317267e-184,0.0,0.0
1210320,0.19649542086477617,1.3995520414706513e-08,0.0
1210350,3.3450812688260814,4.07254894995841e-06,0.0
1210380,7.234778400399665,1.9405975096413317e-05,0.0
1210410,11.456875958927839,5.038357103840235e-05,0.0
1210440,15.808141959873033,0.00010100640140384015,0.0
1210470,20.091044333800124,0.00017468608697964187,0.0
1210500,24.13589352322155,0.000274083300471468,0.0
1210530,27.82118432166952,0.0004010206365757817,0.0
1210560,31.08520666203366,0.000556451050013613,0.0
1210590,33.92682469003538,0.0007404779938283189,0.0
1210620,36.39671197378823,0.0009524138947425236,0.0
1210650,38.580528372561396,0.0011908699090299724,0.0
1210680,40.58002398038508,0.0014538695504790632,0.0
1210710,42.49266638844661,0.0017389741647074336,0.0
1210740,44.397557744455156,0.0020434110145832276,0.0
1210770,46.34742901843272,0.0023641995328086093,0.0
1210800,48.36994753378304,0.002698269915106611,0.0
1210830,50.47362542745042,0.00304257252283313,0.0
1210860,52.64738923267472,0.00339416978185471,0.0
1210890,54.86817159197816,0.003750309325947923,0.0
1210920,57.10930430104517,0.00410847841289667,0.0
1210950,59.34446121505323,0.004466433910702804,0.0
1210980,61.549772248028745,0.004822216323706946,0.0
1211010,63.70732252721523,0.005174402879222015,0.0
1211040,65.8080056439227,0.00552245269207916,0.0
1211070,67.84725066761999,0.005866170702579983,0.0
1211100,69.82248656778943,0.006205380957810131,0.0
1211130,71.73503595631068,0.006540277607868288,0.0
1211160,73.5887898173491,0.00687132023961516,0.0
1211190,75.3887297177573,0.007199087190915084,0.0
1211220,77.14096039833117,0.0075243268113753614,0.0
1211250,78.85215463229036,0.007847901501909876,0.0
1211280,80.52908982585373,0.008170746213563973,0.0
1211310,82.17842184010505,0.00849384376236373,0.0
1211340,83.80649415168305,0.008818190454525948,0.0
1211370,85.41924815744837,0.009144771969676743,0.0
1211400,87.02215778515166,0.009474548128114147,0.0
1211430,88.62015753426198,0.009808435684672273,0.0
1211460,90.21757596964858,0.01014729193833096,0.0
1211490,91.81814559428226,0.010491904258261337,0.0
1211520,93.42501360794797,0.010842983105697977,0.0
1211550,95.04078904653831,0.011201156631264891,0.0
1211580,96.66753852980511,0.011566967686178441,0.0
1211610,98.30684712789669,0.011940872800086209,0.0
1211640,99.95980055532536,0.012323242345274231,0.0
1211670,101.62709628452215,0.012714362310111303,0.0
