time,hvac_oveZonSupWes_TZonHeaSet_u,hvac_oveZonSupWes_TZonCooSet_u,hvac_reaZonWes_TZon_y
6652800,285.15,303.15,294.26958202701036
6652830,285.15,303.15,294.2650766477368
6652860,285.15,303.15,294.2606125656272
6652890,285.15,303.15,294.2562059073457
6652920,285.15,303.15,294.25187334790013
6652950,285.15,303.15,294.2476285894074
6652980,285.15,303.15,294.24348272770146
6653010,285.15,303.15,294.23944493407413
6653040,285.15,303.15,294.2355228708551
6653070,285.15,303.15,294.23172290809975
6653100,285.15,303.15,294.2280503255013
6653130,285.15,303.15,294.2245094898583
6653160,285.15,303.15,294.22110400829644
6653190,285.15,303.15,294.2178368596105
6653220,285.15,303.15,294.21471050491505
6653250,285.15,303.15,294.21172698195164
6653280,285.15,303.15,294.208887985166
6653310,285.15,303.15,294.2061949336049
6653340,285.15,303.15,294.203649028555
6653370,285.15,303.15,294.2012513025388
6653400,285.15,303.15,294.1990026609144
6653430,285.15,303.15,294.1969039171688
6653460,285.15,303.15,294.19495582283776
6653490,285.15,303.15,294.1931590845707
6653520,285.15,303.15,294.1915143925222
6653550,285.15,303.15,294.1900224902561
6653580,285.15,303.15,294.1886840814033
6653610,285.15,303.15,294.1874999270015
6653640,285.15,303.15,294.1864708240648
6653670,285.15,303.15,294.18559761793136
6653700,285.15,303.15,294.18488121280035
6653730,285.15,303.15,294.18432257866857
6653760,285.15,303.15,294.1839227564501
6653790,285.15,303.15,294.183682862135
6653820,285.15,303.15,294.18360408994397
6653850,285.15,303.15,294.18368771450025
6653880,285.15,303.15,294.1839350920406
6653910,285.15,303.15,294.18434766063166
6653940,285.15,303.15,294.1849269393019
6653970,285.15,303.15,294.18567452596966
6654000,285.15,303.15,294.18659209398646
6654030,285.15,303.15,294.1876813870608
6654060,285.15,303.15,294.1889442122797
6654090,285.15,303.15,294.19038243085544
6654120,285.15,303.15,294.1919979461773
6654150,285.15,303.15,294.19379268864066
6654180,285.15,303.15,294.19576859666773
6654210,285.15,303.15,294.197927593228
6654240,285.15,303.15,294.2002715570923
6654270,285.15,303.15,294.20280228799766
6654300,285.15,303.15,294.20552146482
6654330,285.15,303.15,294.2084305958923
6654360,285.15,303.15,294.2115309606005
6654390,285.15,303.15,294.21482354157496
6654420,285.15,303.15,294.2183089469914
6654450,285.15,303.15,294.22198732290894
6654480,285.15,303.15,294.2258582560994
6654510,285.15,303.15,294.22992066854476
6654540,285.15,303.15,294.23417270572486
6654570,285.15,303.15,294.2386116217843
6654600,285.15,303.15,294.24323716642596
6654630,285.15,303.15,294.2480464307316
6654660,285.15,303.15,294.25302253724976
6654690,285.15,303.15,294.25814392183133
6654720,285.15,303.15,294.2630416707057
6654750,285.15,303.15,294.267300796539
6654780,285.15,303.15,294.27095227038666
6654810,285.15,303.15,294.2740740211638
6654840,285.15,303.15,294.27673021070194
6654870,285.15,303.15,294.2789746831322
6654900,285.15,303.15,294.2808547978218
6654930,285.15,303.15,294.2824092581912
6654960,285.15,303.15,294.2836748145313
6654990,285.15,303.15,294.28468431352564
6655020,285.15,303.15,294.28546695915713
6655050,285.15,303.15,294.286048964306
6655080,285.15,303.15,294.28645302699204
6655110,285.15,303.15,294.28669903924884
