kpi,b1,b2
average demand decrease,0.2306209253859611,1.698815201290865
average demand decrease intensity,0.004804602612207522,0.0088479958400565
average demand decrease index,0.387454397104608,
average demand increase,0.009302407540704776,0.2169497211742989
average demand increase intensity,0.00019380015709801618,0.0011299464644494
average demand increase index,0.05973865108098986,
average power rebound,-0.006944823400180326,0.5102365965667944
average power rebound index,3769.915048642996,0.6421781732541845
flexibility savings index,11.004383182715582,13.456502391755896
energy savings of demand response,16.434054688625288,79.0240127818986
net building consumption change percentage,-9.44968411770742,-11.977354283215917
peak power reduction,-0.1906686732924392,-0.253889510045072
tdis_tot,5.642956910118371,2.3497888743238784
