time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceDistrictHeatingPower,LowerSetp[1]old,LowerSetp[1],UpperSetp[1],UpperCO2[1],pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul,InternalGainsRad[1],Occupancy[1],InternalGainsLat[1],InternalGainsCon[1],EmissionsElectricPower,EmissionsDistrictHeatingPower,EmissionsGasPower,EmissionsBiomassPower,EmissionsSolarThermalPower
2/5/1970 0:00,0.04281,0.03857,0.03729,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.55,0,0,0,0.85,0.7,3000,13.9,4.71238898,0.7,265.0399643,280,3024000,2.454706056,-0.883909729,-0.288537866,3022589.56,216.667323,275.85,274.8943824,172.734722,4,86.367361,172.734722,0.209,0.1163,0.2,0,0
2/5/1970 0:15,0.04281,0.03857,0.03729,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.625,0,0,0,0.8575,0.74953125,3000,13.775,4.71238898,0.72890625,265.2795776,281.0666935,3024900,2.458560779,-0.887764452,-0.288485862,3023489.495,216.7327681,275.8,274.8947624,176.7475125,4,88.3737605,176.7475125,0.209,0.1163,0.2,0,0
2/5/1970 0:30,0.04281,0.03857,0.03729,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.7,0,0,0,0.865,0.80375,3000,13.65,4.71238898,0.752083333,265.4841724,282.0372243,3025800,2.458755832,-0.887959505,-0.288433848,3024389.431,216.7982133,275.75,274.8948602,180.76032,4,90.38016,180.76032,0.209,0.1163,0.2,0,0
2/5/1970 0:45,0.04281,0.03857,0.03729,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.775,0,0,0,0.8725,0.85609375,3000,13.525,4.71238898,0.77421875,265.6947019,282.9891429,3026700,2.455287372,-0.884491046,-0.288381826,3025289.366,216.8636584,275.7,274.8946774,184.7731105,4,92.3865595,184.7731105,0.209,0.1163,0.2,0,0
2/5/1970 1:00,0.04281,0.03857,0.0328,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.85,0,0,0,0.88,0.9,3000,13.4,4.71238898,0.8,265.9665713,284,3027600,2.448215797,-0.877419471,-0.288329795,3026189.301,216.9291036,275.65,274.8942155,188.78976,4,94.39488,188.78976,0.209,0.1163,0.2,0,0
2/5/1970 1:15,0.04281,0.03857,0.0328,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.925,0,0,0,0.8875,0.93671875,2545.3125,13.275,4.71238898,0.86171875,266.7633105,286.7543295,3028500,2.437661101,-0.866864774,-0.288277755,3027089.237,216.9945488,275.6,274.8934758,192.802559,5,96.4012795,192.802559,0.209,0.1163,0.2,0,0
2/5/1970 1:30,0.04281,0.03857,0.0328,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,274,0,0,0,0.895,0.96875,1545,13.15,4.71238898,0.952083333,268.2399748,291.3620356,3029400,2.423794135,-0.852997808,-0.288225707,3027989.173,217.0599939,275.55,274.8924598,196.8153665,5,98.407679,196.8153665,0.209,0.1163,0.2,0,0
2/5/1970 1:45,0.04281,0.03857,0.0328,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,274.075,0,0,0,0.9025,0.99140625,544.6875,13.025,4.71238898,1,269.1674142,295.5387239,3030300,2.406825217,-0.83602889,-0.28817365,3028889.108,217.1254391,275.5,274.891169,200.831999,5,100.4159995,200.831999,0.209,0.1163,0.2,0,0
2/5/1970 2:00,0.04281,0.03857,0.02971,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,274.15,0,0,0,0.91,1,90,12.9,4.71238898,1,269.1363737,297,3031200,2.386991754,-0.816195428,-0.288121584,3029789.044,217.1908843,275.45,274.8896046,204.844815,5,102.4224075,204.844815,0.209,0.1163,0.2,0,0
2/5/1970 2:15,0.04281,0.03857,0.02971,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,274.0321429,0,0,0,0.90475,1,90,12.91057692,4.71238898,0.925,267.620993,293.9736842,3032100,2.364546379,-0.793750053,-0.288069509,3030688.98,217.2563295,275.4109375,274.8185939,208.857597,5,104.4287985,208.857597,0.209,0.1163,0.2,0,0
2/5/1970 2:30,0.04281,0.03857,0.02971,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.6357143,0,0,0,0.881,1,90,13.11153846,4.71238898,0.85,266.3206678,287.9210526,3033000,2.339746658,-0.768950332,-0.288017426,3031588.916,217.3217747,275.3875,274.6466737,212.874238,5,106.437119,212.874238,0.209,0.1163,0.2,0,0
2/5/1970 2:45,0.04281,0.03857,0.02971,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,273.1214286,0,0,0,0.84925,1,90,13.38173077,4.71238898,0.775,265.2320505,281.4078947,3033900,2.312846938,-0.742050611,-0.287965334,3032488.852,217.3872199,275.3703125,274.4299148,216.8870455,5,108.4435185,216.8870455,0.209,0.1163,0.2,0,0
2/5/1970 3:00,0.04281,0.03857,0.031,0.0828,288.15,292.15,299.15,1000,101325,0.221133216,0.970926663,272.65,0,0,0,0.82,1,90,13.6,4.71238898,0.7,264.3480109,277,3034800,2.284092448,-0.713296121,-0.287913234,3033388.788,217.4526651,275.35,274.2252546,220.899836,5,110.449918,220.899836,0.209,0.1163,0.2,0,0
